Flight_number ,Leg_number ,Date ,Num_avail_seats ,Airplane_id,Dep_airport_code,Dep_time,Arr_airport_code,Arr_time
Tk2163,1,01.01.2021,10,Jx-1232,esb,10:05,adb,11:20
Tk2163,2,01.01.2021,10,Un-3102,adb,12:30,ist,13:25
Ba0113,1,03.01.2021,220,Fk-221,lhr,08:20,ist,12:20
Ba0113,2,03.01.2021,220,Bre-3112,ist,14:45,jfk,01:00
Ek202,1,03.01.2021,15,Tk-0007,dxb,06:45,esb,09:40
Ek202,2,03.01.2021,15,Hy-9841,esb,11:45,lhr,16:30
Ek202,3,03.01.2021,15,Kgx-8704,lhr,21:00,jfk,03:10
Tk2313,0,05.01.2021,50,Jx-1232,ist,06:45,esb,07:50
Tk3,0,06.01.2021,48,Pl-9630,ist,07:30,dxb,10:45
Ek121,0,02.01.2021,80,Ol-7410,jfk,15:00,dxb,23:55
Pc3168,0,07.01.2021,115,Yn-023,saw,09:45,esb,10:40
Ba0104,0,10.01.2021,150,Lbj-0023,saw,16:20,esb,17:20
